Date,Time,Session,Session Title,Chairs,Presenters,Organizing Groups
11/04,08:30 - 10:30,EW001,"Surgical site infections: principles and practice in the era of multidrug resistance","Gabriel BIRGAND; Efthymia GIANNITSIOTI","Evolving antimicrobial resistance: do we need a change in surgical antimicrobial prophylaxis?: Camilla RODRIGUES | Role of decolonisation and bowel decontamination in regions of overwhelming multidrug resistance: Prasannakumar PALANIKUMAR | Screening for MDR GNR coloniSation: is there evidence for prophylaxis: Elisabeth PRESTERL | Perioperative prophylaxis in special populations in the era of MDR: Divyashree SHANTHAMURTHY","Not specified"
11/04,08:30 - 10:30,EW002,"Demystifying pharmacokinetics and population pharmacokinetics: a toolkit for non-experts","Shampa DAS; Jo�o Paulo TELLES","Pharmacokinetics 101: navigating the basics for optimal dosing: Linda AULIN | The ABCs of population pharmacokinetic models: Erwin DREESEN | Looking into the crystal ball: exploring the fabulous world of PK-PD simulations: Vincent ARANZANA-CLIMENT | Decoding population pharmacokinetic papers: interpreting, comparing and discussing results: Iris K. MINICHMAYR","ESCMID PK/PD of Anti-Infectives Study Group (EPASG)"
11/04,08:30 - 10:30,EW003,"Challenges in identification and relevance of slow-growing pathogens","Kerrie DAVIES; Yann DUMONT","Sampling and culturing anaerobes: Hugo CRUZ | I have an anaerobe: what is it and does it matter?: Kathleen BOITEN | Actinomyces in clinical samples: when is it worth the trouble?: Eija Inkeri K�N�NEN | Nocardiosis: when to test and how to manage results?: David LEBEAUX","ESCMID Study Group for Anaerobic Infections (ESGAI), ESCMID Study Group for Clostridioides difficile (ESGCD)"
11/04,08:30 - 10:30,EW004,"A hard nut to crack in HIV","Yoav KEYNAN; Justyna KOWALSKA","Viral reservoir: what a physician should know: Ivailo ALEXIEV | Non-suppressible viraemia during HIV-1 therapy: a challenge for clinicians: Jose ARRIBAS | Chronic vascular and pulmonary disease and HIV: what can we do about it?: Susanne Dam POULSEN | Opportunistic infections: most common and most deadly: Milena STEVANOVIKJ","Euroguidelines in Central and Eastern Europe Network Group"
11/04,08:30 - 10:30,EW005,"Diagnostic parasitology in the XXIst century: is microscopy ""+"" still useful?","Miriam Jos� �LVAREZ-MART�NEZ; Caroline R�NNBERG","Artificial Intelligence for the diagnosis of parasitic infections: Bobbi PRITT | Histopathology of parasitic infections: Richard BRADBURY | Molecular diagnosis vs. microscopy in the diagnosis of parasitic infections: Sitara Sr AJJAMPUR | Paleoparasitology: what diagnostic tools?: Ayman EL-BADRY","ESCMID Study Group for Clinical Parasitology (ESGCP)"
11/04,08:30 - 10:30,EW006,"Vaccine hesitancy: from issues to solutions through developing communication skills","Monia CHEMAIS; Petar VELIKOV","Vaccine hesitancy and its consequences: Noni MACDONALD | Why are patients and parents hesitant about vaccination?: Eve DUBE | Using social media to deal with vaccine hesitancy: Muge CEVIK | Strengthening vaccine confidence in patients and parents:  TBA","ESCMID Vaccine Study Group (EVASG)"
11/04,08:30 - 10:30,SP1,"Antimicrobial Stewardship in Different Scenarios","Murat AKOVA; Andre FUCHS; Maddalena GIANNELLA; Angela HUTTNER; Benedikt HUTTNER; Jose Ramon PANO-PARDO; Galadriel PELLEJERO-SAGASTIZ�BAL; Holger ROHDE; Oana SANDULESCU; Jeroen SCHOUTEN; Valentijn SCHWEITZER; Thomas T�NGD�N; Suzanne VAN ASTEN; Dafna YAHAV","","ESCMID Education Subcommittee"
11/04,08:30 - 16:00,IW,"Improving infectious disease prevention: vaccination strategies focusing on AI technology, public health, and communications","Giovanni CHECCUCCI LISI; Peter OPENSHAW; Barbara RATH","Welcome and Introduction: Giovanni CHECCUCCI LISI | Integration of AI into preventative vaccine strategies:  TBA | Integration of AI a public health perspective: vaccination impact on infectious respiratory diseases preventative vaccine strategies:  TBA | Behavioural science: supporting vaccination conversations:  TBA | Panel Discussion and Q&A:  TBA | Workshop 1: Using behavioural science to support vaccine conversations:  TBA | Wokrshop 2: Navigating the complexity of vaccine schedules and the potential role of generative AI:  TBA | Workshop 3: Real-world application of AI and behavioural science for a vaccine implementation strategy:  TBA | Closing Remarks: Giovanni CHECCUCCI LISI","Pfizer"
11/04,11:00 - 12:00,ME007,"How to interpret resistance patterns from antibiograms","",": Tommaso GIANI; Diaz LORENA","Not specified"
11/04,11:00 - 12:00,ME008,"Children are not just small adults: interactive paediatric cases","",": Julie TOUBIANA; Sanjay PATEL","Not specified"
11/04,11:00 - 12:00,ME009,"How to practise WHO Guidelines for the prevention of bloodstream infections and other intravascular catheter infections","",": Kushlani JAYATILLEKE; Walter ZINGG","Not specified"
11/04,11:00 - 12:00,ME010,"Can we stop vertical transmission of syphilis, HIV and hepatitis? Regional experience","",": Ecaterina NOROC; Fakhriddin NIZAMOV","Euroguidelines in Central and Eastern Europe Network Group, United Nations International Children's Emergency Fund (UNICEF)"
11/04,11:00 - 12:00,ME011,"Biofilm-related nontuberculous mycobacterial infections: ongoing nightmare","",": Jaime ESTEBAN; Philippe MORAND","ESCMID Study Group for Implant-associated Infections (ESGIAI), ESCMID Study Group for Mycobacterial Infections (ESGMYC)"
11/04,11:00 - 12:00,ME012,"How to understand infectious disease risks in changing climates","",": Kimberly FORNACE; Rachel LOWE","Not specified"
11/04,11:00 - 12:00,SP2,"Principles of systematic reviews (with and without meta-analysis)","Chiara IARIA; Miranda LANGENDAM; Blin NAGAVCI; Mical PAUL; Luigia SCUDELLER","","ESCMID Education Subcommittee"
11/04,13:30 - 14:30,ME013,"Orthopaedic implant infections: new approaches for improved outcomes","",": Marjan WOUTHUYZEN-BAKKER; Trisha PEEL","ESCMID PK/PD of Anti-Infectives Study Group (EPASG), ESCMID Study Group for Implant-associated Infections (ESGIAI), ESCMID Study Group for Infectious Diseases of the Brain (ESGIB)"
